TUESDAY,,,,,,,,,
Slots,1,2,3,4,5,6,7,8,9
Academic Block I LAB-1 (49),"ICT Lab BDS-1A
Mehak Mazhar",,,"DBS Lab BCS-5D
Fatima Gado",,,"CN Lab BCS-5H
Abdullah Shaikh",,
Academic Block I CY LAB-2 (48),"ICC BSE-7A
Sudais","CN BCS-5G
Dr. Ghufran Ahmed","Reserved for Mr Absar Khalid
Nov 25 BSFT-1B",,"ICC BSE-7B
Sudais","ICC BSE-7B
Sudais","DBS Lab BCS-5C
Fareeha Jabeen",,
Academic Block I LAB-3 (47),"DBS Lab BCY-5A
Amna Aslam ",,,"
(Reserved for Mr Absar Khalid Nov 25 IT in Business BSFT-1B)",,Reserved for Ms Nighat Jahan Nov 18,,,
Academic Block I LAB-4 (46),"PF Lab BCS-1D
Bushra Sattar",,,Reserved for Coders Cup Nov 18 ,,,"DBS Lab BCS-5G
Kinza Mushtaq",,
Academic Block III LAB-5 (52),Reserved for ACM CY 18 Nov,,,"CN Lab BCS-5B
Hijab Sikandar (VF)",,,"Application of ICT lab BSCE-1A
Engr. Ghulam Qadir",,
Academic Block II DS LAB-6 (52),"ICT Lab BSE-1B
Syeda Tehreem Gillani",,,"CN Lab BCS-5A
Sameer Faisal",,,"ICT Lab BCS-1J
Saira Ayub",,
Academic Block II LAB-7 (45),"ICT Lab BCS-1H
Hijab Sikandar (VF)",,,"WP BCS-5B (F-J)
Ali Fatmi","WP BCS-5A (F-J)
Ali Fatmi",,Reserved for Coders Cup Nov  18,,
Academic Block II CY LAB-8 (49),"COAL Lab BCS-3K
 Seema Hashwani ",,,"DF Lab BCY-5B
Saqib",,,"PF Lab BCS-1E
Amna Mubarak",,
Academic Block II AI/ML LAB-9 (47),"Application of ICT lab BSEE-1B
Engr. Zakir Hussain",,,"ICT Lab BCY-1B
Amna Aslam",,,"COAL Lab BCS-3H
Muhammad Owais",,
Academic Block II LAB-10 (44),Reserved for ACM CY 18 Nov,,,"COAL Lab BCS-3E
Ghulam Qadir",,,"ML Lab BAI-5A
Alishba Subhani",,
Academic Block II LAB-11 (46),Reserved for ACM CY 18 Nov,,,"Application of ICT lab BSEE-1A
Engr. Bushra",,,"DCNet lab BSEE-5B
Dr. Haider Mehdi",,
Academic Block II Lab-12 (47),"DAB2 lAB BSBA-3A
Nighat Jahan",,,"DS Lab BCS-3B
Shafique Rehman",,,Reserved for Coders Cup Nov  18,,
Academic Block II Lab-13 (47),"ICT Lab BCS-1F
Saqib Shah ",,,"DS Lab BCS-3D
Syeda Ravia Ijaz",,,Reserved for Coders Cup Nov 18,,
Academic Block II Lab-14 (43),Reserved for ACM CY 18 Nov,,,"ICT Lab BCS-1A
Osama Tahir",,,Reserved for Coders Cup Nov 18,,
ENGINEERING LABS,,,,,,,,,
Academic Block II Microprocessor and Interfacing Lab,Reserved for Mr Zohaib Ahmed Nov 25 ,,,,,,,,
Academic Block II Electronics Lab,,,,,,,"Electronic Devices and Circuits lab BSEE-3A
Engr. Aqib Noor",,
Academic Block II Engineering Workshop Lab,,,,,,,,,
Academic Block II Electromechanical Systems Lab,,,,,,,,,
Academic Block II Power Lab,,,,,,,,,
Academic Block II Physics Lab,,,,Reserved for Mr Zohaib Ahmed Nov 18,,,,,
