TUESDAY,,,,,,,,,
Slots,1,2,3,4,5,6,7,8,9
E-31 Academic Block II (52),"CS1004-OOP BSE-2B
Abeeha Sattar","SS1015-PST BSE-2B
Wajiha Najam (VF)","CS1004-OOP BCS-2J
Sobia Iftikhar","SS1014-EW BCS-2D
Sharmeen Ismail","SS1014-EW BCS-2E
Sharmeen Ismail","CS1004-OOP BCS-2E
Aashir Mahboob","EE1005-DLD BCS-2E
Sana Naz","EE1005-DLD BCS-2F
Muhammad Rahim","SS1015-PST BCS-2H
Muhammad Adeel"
E-32 Academic Block II (52),"CS1004-OOP BCY-2A
Abeer Gauher","MT1008-MVC BCY-2A
Aneesa Nawaz","SS1015-PST BSE-2A
Wajiha Najam (VF)","CS1004-OOP BSE-2A
Basit Jasani",,"MT1008-MVC BCS-2H
Urooj",,"EE1005-DLD BSE-2B
Hira Tunio","EE1005-DLD BAI-2C
Ishtiaq Ahmed"
E-33 Academic Block II (52),"SS1014-EW BAI-2A
Qurat ul Ain","MT1008-MVC BAI-2A
Moheez Ur Rahim","SS1015-PST BAI-2A
Jahan Ara (VF)",,"EE1005-DLD BAI-2A
Miqdad Khan","EE1005-DLD BAI-2A
Miqdad Khan",,"SS1015-PST BCY-2A
Muhammad Adeel","SS1014-EW BCY-2A
Reema Brohi"
E-34 Academic Block II (52),"CS1004-OOP BAI-2B
Saif ur Rehman",,"SS1014-EW BAI-2B
Qurat ul Ain","SS1015-PST BAI-2C
Jahan Ara (VF)","SS1015-PST BAI-2C
Jahan Ara (VF)","MT1008-MVC BAI-2C
Moheez Ur Rahim","SS1014-EW BAI-2C
Qurat ul Ain","CS1004-OOP BCY-2B
Abeer Gauher","EE1005-DLD BCY-2B
Abuzar Zafar"
E-35 Academic Block II (52),,"CS1004-OOP BAI-2C
Talha Shahid",,,"MT1008-MVC BDS-2A
Moheez Ur Rahim","SS1014-EW BDS-2A
Reema Brohi","EE1005-DLD BDS-2A
Dr. Nouman Durrani","CS1004-OOP BAI-2A
Talha Shahid","CS1004-OOP BAI-2A
Talha Shahid"
LLC Academic Block I (R7) (50),"SS1014-EW Lab BCS-2C
Madiha Rehman",,,"SS1014-EW Lab BCS-2F
Mariam Aftab",,,"SS1014-EW Lab BCS-2K
Tahira Abdul Hakeem",,
C-20 Academic Block II (50),"SS1014-EW Lab BCS-2A
Faiza Mumtaz",,,"SS1014-EW Lab BCS-2G
Javeriya Ahmed Hussain",,,"SS1014-EW Lab BCS-2J
Maimoona",,
Eng Lang Room Academic Block II (50),,,,,,"SE4002-FSPM BSE-6A
Minhal Raza",,,
COMPUTING LABS,,,,,,,,,
Academic Block I LAB-1 (49),,,,"AL2002-AI Lab BCY-6A
Mehak Mazhar",,,"CL2006-OS Lab BCS-4B
Khadeejah Ashraf",,
Academic Block I CY LAB-2 (48),"CL2005-DBS Lab BDS-4B
Jahanzaib",,,"CL2005-DBS Lab BCS-4E
Sameer Faisal",,,"AL2002-AI Lab BCS-6D
Sadaf Zehra",,
Academic Block I LAB-3 (47),"CL2005-DBS Lab BCS-4C
Hijab Shikandar (VF)",,,"AL2002-AI Lab BCS-4H
Riaz Ahmed",,,"CL2006-OS Lab BCS-4J
Syeda Tehreem Gillani ",,
