WEDNESDAY,,,,,,,,,
Slots,1,2,3,4,5,6,7,8,9
E-31 Academic Block II (52),"Psych BCS-3F (J,K)
Faiza Iqbal","LA BCS-3J
Uzma Saleh","Ethics BCS-1N
Dr. Wajiha Raheeq","Ethics BCS-1N
Dr. Wajiha Raheeq","FOM BDS-3B (A,B+ AI)
Dr. Mohsin","Socio BCS-3D (K)
Kauser Malik","LA BCS-3K
Abdul Basit (VF)","LA BCS-3H
Abdul Basit (VF)","LA BCS-3H
Abdul Basit (VF)"
E-32 Academic Block II (52),"Socio BCS-3C (G,H,J)
Kauser Malik","COAL BCS-3K
Aashir Mehboob ",,"IS BSE-7B
Hira Tunio","POE BDS-3B (A,B+ AI)
Musera Bhutto",,"DS BCS-3D
Farrukh Hasan Syed",,
E-33 Academic Block II (52),"Cyber Security BCY-3A
Abeer Gauher","FOA BSE-3A (A,B+ CY)
Jahangir",,"IS BCS-7E
Shaheer Khan",,,"Discrete BAI-3A
Mahrukh Khan","DS BCY-3A
Nouman Rajput",
E-34 Academic Block II (52),Reserved for ACM NUCES Coders Cup 2025 Nov 19,,,,,,,,
E-35 Academic Block II (52),Reserved for ACM NUCES Coders Cup 2025 Nov 19,,,,,,,,
LLC Academic Block I (R7) (50),,,"Resrved for Saeeda Kanwal 
19 Nov NLP BAI 7A + BCS 7C Nov 19","PPIT BCS-7J	
Syed Muhammad Saad (VF)",,Reserved for Github Society 19 Nov,,,
C-20 Academic Block II (50),,,,"FSPM BSE-7A
Minhal Raza","IS BCS-7M
Hira Tunio","NLP BAI-7A
Saeeda Kanwal","Eng-1 Lab BSFT-1E
Reema Brohi",,
Eng Lang Room Academic Block II (50),Reserved for Ms Zainab Nov 19 (Recruitment drive),,,,,,,,
S-2 Academic Block I (100),Reserved for ReMid II Exam Nov 19,,,,,,,,
COMPUTING LABS,,,,,,,,,
Academic Block I LAB-1 (49),"CN Lab BCS-5J
Sadaf Zehra ",,,"COAL Lab BCS-3F
Ghulam Qadir",,,"CV Lab BAI-7B
Muhammad Khalid",,
Academic Block I CY LAB-2 (48),"DBS Lab BCS-5H
Ramsha Iqbal",,,"IOOP BSFT-3C
Madiha Aslam (VF)","PFB BSBA-3A
Madiha Aslam (VF)",,Reserved for Coders Cup Nov 19,,
Academic Block I LAB-3 (47),,,"DF BCY-5B
Dr. Shahbaz Siddiqui","DF BCY-5B
Dr. Shahbaz Siddiqui",Reserved for Mr Muhammad Owais Nov 19 ,,"DBS Lab BCY-5B
Amna Aslam",,
Academic Block I LAB-4 (46),,,Reserved for Ms Seema Hashwani Nov 19 Data Structures Lab BCS-3H,,,"DF BCY-5A
Dr. Shahbaz Siddiqui","DF BCY-5A
Dr. Shahbaz Siddiqui",,
Academic Block III LAB-5 (52),"DS Lab BDS-3A
Alishba Subhani",,,"COAL Lab BCY-3A
Muhammad Qasim Keeryo",,,"Intro to D. Sci Lab BDS-3B
Ramsha Jatt",,
Academic Block II DS LAB-6 (52),"IT in Business lab BSFT-1C
Muhammad Ali Asghar",,,"COAL Lab BCS-3G
 Waseem Rauf",,,"COAL Lab BSE-3B
Muhammad Nadeem",,
Academic Block II LAB-7 (45),"DS Lab BCS-3C
Zainab Asif",,,Reserved Coders Cup Nov 19,,,,Reserved for Mr Ghulam Qadir BSCE-1A Nov 19 ,
Academic Block II CY LAB-8 (49),"IOOP-Lab BSFT-3A
Qasim Alias",,,Reserved for Coders Cup Nov 19,,,"DBS Lab BCS-5E
Zainab Asif",,
Academic Block II AI/ML LAB-9 (47),,,, Reserved forCoders Cup Nov  19,,,,,
Academic Block II LAB-10 (44),"IOOP-Lab BSFT-3B
Absar Khalid",,,"Engineering Drawing lab BSEE-1C
Engr. Mariam",,,Reserved for Mr Zohaib Ahmed Nov 19 + 26 ,,
Academic Block II LAB-11 (46),"Engineering Drawing lab BSEE-1A 
Engr. Aamir Ali",,,Reserved for Coders Cup Nov 19,,,,,
Academic Block II Lab-12 (47),"DS Lab BAI-3A
Shafique Rehman",,,Reserved Coders Cup Nov  19,,,Reserved for Mr Nadeem COAL Lab Final Examination Dec 03 ,,
Academic Block II Lab-13 (47),"DBS Lab BCS-5F
Fareeha Jabeen",,,"DS Lab BCS-3A
Syeda Ravia Ijaz",,,"IT in Business lab BSFT-1A
Abdullah Yaqoob",,
Academic Block II Lab-14 (43),,,,Reserved for Coders Cup Nov  19,,,,,
ENGINEERING LABS,,,,,,,,,
Academic Block II Microprocessor and Interfacing Lab,,,,,,,,,
Academic Block II Electronics Lab,,,,,,,"Electronic Devices and Circuits lab BSEE-3B
Engr. Aqib Noor",,
Academic Block II Engineering Workshop Lab,,,,,,,,,
Academic Block II Electromechanical Systems Lab,,,,,,,,,
Academic Block II Power Lab,,,,,,,,,
Academic Block II Physics Lab,,,,,,,,,
